GEONAME,CRASH_TYPE_CD,VARIABLE,VALUE
Pickaway County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.019230769230769232
Pickaway County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.09615384615384616
Pickaway County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.019230769230769232
Pickaway County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.07692307692307693
Pickaway County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.07692307692307693
Pickaway County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.038461538461538464
Pickaway County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.038461538461538464
Pickaway County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
10-County Region,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.1422963689892051
10-County Region,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.010794896957801767
10-County Region,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0009813542688910696
10-County Region,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.2855740922473013
10-County Region,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.11481844946025516
10-County Region,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06182531894013739
10-County Region,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.008832188420019628
10-County Region,Other Non-Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
10-County Region,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0009813542688910696
10-County Region,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.03042198233562316
10-County Region,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.019627085377821395
10-County Region,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.012757605495583905
10-County Region,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.1746810598626104
10-County Region,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.07065750736015702
10-County Region,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.007850834151128557
10-County Region,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0009813542688910696
10-County Region,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.053974484789008834
10-County Region,Train,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
10-County Region,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.002944062806673209
Union County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.15151515151515152
Union County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Union County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.3939393939393939
Union County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06060606060606061
Union County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.15151515151515152
Union County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.09090909090909091
Union County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Union County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06060606060606061
Union County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Union County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Train,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Union County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Delaware County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.2716627634660422
Delaware County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01639344262295082
Delaware County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Delaware County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.20140515222482436
Delaware County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07728337236533958
Delaware County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.1288056206088993
Delaware County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.00702576112412178
Delaware County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Delaware County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.04449648711943794
Delaware County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01639344262295082
Delaware County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.03044496487119438
Delaware County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0468384074941452
Delaware County,Rear End,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.09601873536299765
Delaware County,Right Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.00468384074941452
Delaware County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Delaware County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0585480093676815
Delaware County,Train,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Delaware County,Unknown,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Fairfield County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.1918158567774936
Fairfield County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.015345268542199489
Fairfield County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0076726342710997444
Fairfield County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.27621483375959077
Fairfield County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0639386189258312
Fairfield County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.09974424552429667
Fairfield County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01278772378516624
Fairfield County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0025575447570332483
Fairfield County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.04092071611253197
Fairfield County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.028132992327365727
Fairfield County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.02557544757033248
Fairfield County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0792838874680307
Fairfield County,Rear End,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.08184143222506395
Fairfield County,Right Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01278772378516624
Fairfield County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0025575447570332483
Fairfield County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.056265984654731455
Fairfield County,Unknown,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0025575447570332483
Franklin County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.16804012898602652
Franklin County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0010748835542816195
Franklin County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.004657828735220351
Franklin County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.19240415621640988
Franklin County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.08599068434252956
Franklin County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07560014331780723
Franklin County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01934790397706915
Franklin County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.002149767108563239
Franklin County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01791472590469366
Franklin County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.029738445001791472
Franklin County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0386958079541383
Franklin County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.16804012898602652
Franklin County,Rear End,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.10498029380150484
Franklin County,Right Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.012898602651379433
Franklin County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
